,Unnamed: 0,idx,Image1,ValenceMean1,ArousalMean1,ValCat1,Image2,ValenceMean2,ArousalMean2,ValCat2,Valence_Diff,Arousal_Diff,ValenceContrast,ABSArousal_Diff,ABSValence_Diff,Bin,Img1Dir,Img2Dir,Block
51,51,51,9395.jpg,3.21,4.22,Neg,Shark 5.jpg,4.464052288,5.594059406,Neu,-1.254052288,-1.374059406,NegNeu,1.374059406,1.254052288,2,IAPS/9395.jpg,IAPS/Shark 5.jpg,1
237,237,237,2570.jpg,4.78,2.76,Neu,3500.jpg,2.21,6.99,Neg,2.57,-4.23,NeuNeg,4.23,2.57,6,IAPS/2570.jpg,IAPS/3500.jpg,1
193,193,193,Toilet 1.jpg,4.738562092,2.808580858,Neu,War 4.jpg,3.62745098,6.04290429,Neg,1.111111112,-3.234323432,NeuNeg,3.234323432,1.111111112,5,IAPS/Toilet 1.jpg,IAPS/War 4.jpg,1
16,16,16,2155.jpg,6.78,5.43,Pos,Dog 1.jpg,6.518151815,5.427184466,Pos,0.261848185,0.002815534,PosPos,0.002815534,0.261848185,1,IAPS/2155.jpg,IAPS/Dog 1.jpg,1
52,52,52,Car crash 1.jpg,2.137254902,5.739273927,Neg,Children 1.jpg,7.297029703,4.365695793,Pos,-5.159774801,1.373578134,NegPos,1.373578134,5.159774801,2,IAPS/Car crash 1.jpg,IAPS/Children 1.jpg,1
33,33,33,9428.jpg,2.31,5.66,Neg,Thunderstorm 5.jpg,6.00330033,5.699029126,Neu,-3.69330033,-0.039029126,NegNeu,0.039029126,3.69330033,1,IAPS/9428.jpg,IAPS/Thunderstorm 5.jpg,1
168,168,168,5530.jpg,5.38,2.87,Neu,6540.jpg,2.19,6.83,Neg,3.19,-3.96,NeuNeg,3.96,3.19,5,IAPS/5530.jpg,IAPS/6540.jpg,1
4,4,4,7650.jpg,6.62,6.15,Pos,Cat 5.jpg,7.954248366,6.148514851,Pos,-1.334248366,0.001485149,PosPos,0.001485149,1.334248366,1,IAPS/7650.jpg,IAPS/Cat 5.jpg,1
24,24,24,5726.jpg,6.23,2.84,Pos,Toilet 3.jpg,4.777777778,2.821782178,Neu,1.452222222,0.018217822,PosNeu,0.018217822,1.452222222,1,IAPS/5726.jpg,IAPS/Toilet 3.jpg,1
29,29,29,4622.jpg,7.46,4.11,Pos,9390.jpg,3.67,4.14,Neg,3.79,-0.03,PosNeg,0.03,3.79,1,IAPS/4622.jpg,IAPS/9390.jpg,1
